Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Upper Cannibal Left","Cannibal Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106432275/upper-cannibal-left,2.2,-1,"Trad, Sport","5.10a R",1,70,42.07757,-113.71282
"Moderate Route","Indian Chief Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107260996/moderate-route,1.6,-1,Trad,5.6,1,60,42.04135,-113.71739
Epic,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741941/epic,1.8,-1,Trad,5.6,2,230,42.07583,-113.72191
"Never Leave Home Without It","Geowatt > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115432802/never-leave-home-without-it,2.0,-1,Sport,5.9,1,35,42.09275,-113.69771
"Wide Crack","Indian Chief Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107704060/wide-crack,2.0,-1,Trad,5.8,1,70,42.04135,-113.71739
"Step Left","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741656/step-left,1.6,-1,"Trad, TR",5.7,1,50,42.07125,-113.70772
"Steppes of Central Asia","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107687588/steppes-of-central-asia,1.6,-1,Trad,5.8,1,85,42.0867,-113.7292
"Masochist Crack","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105795478/masochist-crack,1.2,-1,Trad,5.8,1,140,42.08603,-113.72268
"The Black Hand","Upper Broadloaves - North > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118028134/the-black-hand,2.0,-1,Trad,5.9,1,40,42.08838,-113.7291
"Make It Hurt","Go West > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107198088/make-it-hurt,2.0,-1,Trad,5.10a,1,75,42.0863,-113.7327
"Lion Cling","Lion's Head > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107171639/lion-cling,1.9,-1,Sport,5.9+,1,50,42.0917,-113.6982
"Half Moon","Odyssey > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105887088/half-moon,1.9,-1,Trad,5.10,1,60,42.08032,-113.70666
"Rock Lobster","Gallstone, The > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105847439/rock-lobster,1.6,-1,Trad,"5.7 PG13",1,90,42.06578,-113.70841
"Enter the Fold","Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115338156/enter-the-fold,2.0,-1,Trad,"5.6 R",1,120,42.08058,-113.72115
"Night Vision","Owl Rock - West > Owl Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108006757/night-vision,2.0,-1,Trad,"5.10a PG13",1,70,42.0856,-113.72833
"Right Side","The Wart > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105862563/right-side,2.0,-1,Trad,"5.9 PG13",1,50,42.07699,-113.72211
